gbifID,countryCode,locality,individualCount,decimalLatitude,decimalLongitude,depth,day,month,year
998034238,ID,Lekuan Ii,,1.60122,124.765,7.5,11.0,8.0,2014.0
998034233,ID,Lekuan I,,1.59622,124.768,11.0,11.0,8.0,2014.0
998033766,TH,Bay 3 (Konkare Bay),,7.59967,98.3751,9.55,5.0,12.0,2011.0
986401511,CO,Mar Caribe. Arrecife Plan Parejo Bahía Capurganá,1.0,8.63176,-77.34085,,4.0,1.0,2011.0
930946617,EG,Far Garden,,27.9154,34.3588,7.15,25.0,8.0,2012.0
930946615,EG,Middle Garden,,27.9149,34.3524,6.5,31.0,5.0,2014.0
930946486,EG,Ras Mohammed National Park,,27.74,34.2458,9.0,24.0,8.0,2012.0
930946450,KY,Lighthouse Wall,,19.2936,-81.0939,15.07,30.0,6.0,2014.0
930946388,BZ,Tuffy Canyons,,18.0016,-87.9433,9.145,9.0,2.0,2013.0
930946232,HN,One Minute West,,16.3833,-86.4,8.23,1.0,7.0,2013.0
930946211,EG,Oonas House Reef,,27.9153,34.3358,5.0,22.0,8.0,2012.0
930946197,EG,Ras Mohammed National Park,,27.74,34.2458,9.0,24.0,8.0,2012.0
930946184,EG,Oonas House Reef,,27.9153,34.3358,5.0,22.0,8.0,2012.0
930946161,EG,White Knights,,27.9633,34.4199,8.3,25.0,8.0,2012.0
930946111,EG,Oonas House Reef,,27.9153,34.3358,5.75,22.0,8.0,2012.0
930946064,EG,The Kingston Wreck,,27.7833,33.8833,8.0,26.0,1.0,2014.0
930946009,MX,Punta Negra,,21.1275,-86.7369,7.05,30.0,6.0,2014.0
930945945,HN,Hottest Sparrow Channel,,16.355,-86.5015,12.65,3.0,7.0,2013.0
930945934,EG,Temple,,27.8473,34.3088,9.0,26.0,1.0,2014.0
930945755,EG,Lighthouse,,28.4991,34.5197,15.0,8.0,7.0,2014.0
930945550,MV,Fesdu Lagoon,,3.98627,72.7663,5.05,2.0,5.0,2014.0
930945530,MV,Fesdu Wreck,,3.99921,72.7832,14.25,2.0,5.0,2014.0
919317415,KY,Duppys,,19.7127,-79.8389,10.5,21.0,6.0,2014.0
919317360,BS,Vicky's Reef,,24.028,-74.5343,11.43,1.0,6.0,2014.0
919317311,KY,Turtle Reef,,19.3827,-81.4171,8.5,11.0,6.0,2014.0
919317284,US,Labontee Reef,,26.2379,-80.1248,5.335,16.0,6.0,2014.0
919317268,BS,Runway 10,,24.0648,-74.5455,10.21,31.0,5.0,2014.0
919317240,EG,Ss Thistlegorm,,27.8133,33.9208,9.3,31.0,12.0,2013.0
919317228,PH,Kontiki House Reef,,10.282,124.0,9.0,15.0,6.0,2014.0
919317224,KY,North West Point,,19.3779,-81.4205,15.0,12.0,6.0,2014.0
919317156,AU,Clovelly Pool,,-33.9177,151.273,3.0,3.0,5.0,2014.0
919317059,US,Markham,,33.961,-77.553,12.495,21.0,9.0,2012.0
919316941,SX,Divi,,18.0155,-63.0646,5.03,29.0,5.0,2014.0
919140059,BZ,Belize,,17.6342,-87.3012,,15.0,4.0,2011.0
919139962,BZ,Belize,,17.6342,-87.3012,,15.0,4.0,2011.0
911506281,AU,,,-14.668626,145.566101,,5.0,12.0,2012.0
911504752,AU,,,-14.915592,145.675278,,3.0,1.0,2012.0
911503508,AU,,,-15.517867,145.778961,,1.0,1.0,2012.0
911501638,AU,,,-14.927535,145.675964,,31.0,12.0,2011.0
911440715,ID,Lembeh Resort House Reef,,1.45699,125.242,11.5,18.0,5.0,2014.0
911440697,HN,Sturges Bank,,16.0735,-86.9236,8.1,27.0,8.0,2013.0
911440649,GD,Whibbles,,12.0185,-61.804,12.3,27.0,4.0,2014.0
911440617,AU,Navy Pier,,-21.8166,114.191,6.25,11.0,5.0,2014.0
911440616,ID,Coral Garden,,-8.277,115.594,5.0,24.0,3.0,2014.0
911440603,AU,Navy Pier,,-21.8166,114.191,6.6,11.0,5.0,2014.0
